case_id,case_type,routed_team,final_team,resolution_summary,resolution_time_hours,repeat_routing,case_title,case_description,priority,source,product_area,current_owner,status,predicted_team,correct
C001,Security Token Error,Infra,FinOps,Sample past resolution outcome,8,1,Refund Delay,Auto-generated example describing refund delay,Low,Internal Alert,Payments,FinOps,Closed,FinOps,True
C002,Security Token Error,Support,Infra,Sample past resolution outcome,20,0,Login Failure,Auto-generated example describing login failure,Low,Internal Alert,Billing,FinOps,Closed,FinOps,False
C003,Login Failure,Infra,FinOps,Sample past resolution outcome,12,1,Login Failure,Auto-generated example describing login failure,Medium,Slack Escalation,Support,FinOps,Closed,Support,False
C004,Deployment Rollback,Security,Support,Sample past resolution outcome,24,1,Payment API Timeout,Auto-generated example describing payment api timeout,Low,Customer Ticket,Infra,Infra,In-Progress,Infra,False
C005,Security Token Error,Support,FinOps,Sample past resolution outcome,13,0,Payment API Timeout,Auto-generated example describing payment api timeout,High,Customer Ticket,Security,Support,In-Progress,FinOps,True
C006,Account Setup Issue,Support,Security,Sample past resolution outcome,8,1,Deployment Rollback,Auto-generated example describing deployment rollback,High,Internal Alert,Billing,Support,Open,FinOps,False
C007,Security Token Error,FinOps,Infra,Sample past resolution outcome,12,1,Deployment Rollback,Auto-generated example describing deployment rollback,Low,Internal Alert,Payments,FinOps,Closed,Infra,True
C008,Payment API Timeout,Infra,FinOps,Sample past resolution outcome,18,1,Security Token Error,Auto-generated example describing security token error,Low,Internal Alert,Infra,Support,In-Progress,Infra,False
C009,Deployment Rollback,Security,Security,Sample past resolution outcome,16,0,Security Token Error,Auto-generated example describing security token error,High,Internal Alert,Payments,Infra,Closed,FinOps,False
C010,Security Token Error,FinOps,Support,Sample past resolution outcome,7,0,Refund Delay,Auto-generated example describing refund delay,Low,Slack Escalation,Payments,Infra,In-Progress,FinOps,False
C011,Login Failure,Support,FinOps,Sample past resolution outcome,11,1,Login Failure,Auto-generated example describing login failure,Low,Slack Escalation,Billing,FinOps,Open,Support,False
C012,Payment API Timeout,FinOps,Infra,Sample past resolution outcome,12,1,Deployment Rollback,Auto-generated example describing deployment rollback,Medium,Internal Alert,Security,FinOps,In-Progress,Infra,True
C013,Account Setup Issue,FinOps,Security,Sample past resolution outcome,21,0,Payment API Timeout,Auto-generated example describing payment api timeout,Low,Slack Escalation,Support,Infra,In-Progress,FinOps,False
C014,Account Setup Issue,Infra,Support,Sample past resolution outcome,6,0,Payment API Timeout,Auto-generated example describing payment api timeout,Medium,Customer Ticket,Infra,Support,Closed,FinOps,False
C015,Security Token Error,FinOps,Infra,Sample past resolution outcome,5,1,Refund Delay,Auto-generated example describing refund delay,High,Customer Ticket,Billing,Security,Closed,FinOps,False
C016,Refund Delay,FinOps,Infra,Sample past resolution outcome,12,1,Payment API Timeout,Auto-generated example describing payment api timeout,Low,Customer Ticket,Payments,Support,In-Progress,FinOps,False
C017,Security Token Error,Infra,Infra,Sample past resolution outcome,18,0,Payment API Timeout,Auto-generated example describing payment api timeout,High,Customer Ticket,Payments,Support,Open,FinOps,False
C018,Deployment Rollback,Infra,Security,Sample past resolution outcome,15,1,Login Failure,Auto-generated example describing login failure,High,Customer Ticket,Support,FinOps,Open,Support,False
C019,Deployment Rollback,Support,FinOps,Sample past resolution outcome,12,0,Login Failure,Auto-generated example describing login failure,Low,Customer Ticket,Billing,Infra,Closed,Support,False
C020,Refund Delay,Security,Infra,Sample past resolution outcome,20,0,Login Failure,Auto-generated example describing login failure,High,Slack Escalation,Security,Support,Closed,Security,False
C021,Deployment Rollback,Security,Infra,Sample past resolution outcome,12,0,Login Failure,Auto-generated example describing login failure,Medium,Slack Escalation,Support,FinOps,Open,Support,False
C022,Refund Delay,Security,FinOps,Sample past resolution outcome,9,0,Account Setup Issue,Auto-generated example describing account setup issue,Low,Internal Alert,Payments,Security,In-Progress,Support,False
C023,Login Failure,Support,FinOps,Sample past resolution outcome,24,0,Security Token Error,Auto-generated example describing security token error,High,Internal Alert,Security,FinOps,In-Progress,Security,False
C024,Payment API Timeout,FinOps,FinOps,Sample past resolution outcome,22,0,Security Token Error,Auto-generated example describing security token error,High,Internal Alert,Infra,Support,Closed,Infra,False
C025,Payment API Timeout,FinOps,Security,Sample past resolution outcome,9,0,Security Token Error,Auto-generated example describing security token error,Medium,Customer Ticket,Support,Support,Closed,Security,True
C026,Account Setup Issue,Support,Support,Sample past resolution outcome,15,0,Deployment Rollback,Auto-generated example describing deployment rollback,Low,Customer Ticket,Billing,Support,Closed,Infra,False
